id,value
flare.(3)BODY.5x.53301.8000 Hood,1
flare.(3)BODY.5x.53801,
flare.(3)BODY.5x.53801.8130 Fenders,1
flare.(3)BODY.6x,
flare.(3)BODY.6x.616,
flare.(3)BODY.6x.616.12941 Quarter Panel,1
flare.(3)BODY.6x.63205,
flare.(3)BODY.6x.63205.12811 Sunroof,1
flare.(3)BODY.6x.67001,
flare.(3)BODY.6x.67001.10351 Doors f/r,1
flare.(3)BODY.6x.67005,
flare.(3)BODY.6x.67005.12179 Tailgate,1
flare.(3)BODY.7x,
flare.(3)BODY.7x.77740,
flare.(3)BODY.7x.77740.Evaportive Canister (Fuel Tank),1
flare.(3)BODY.7x.773,
flare.(3)BODY.7x.773.Gas Cap (Fuel Tank),1
flare.(3)BODY.7x.717,
flare.(3)BODY.7x.717.Seats,1
flare.(4)ELECTRICAL,
flare.(4)ELECTRICAL.2x,
flare.(4)ELECTRICAL.2x.28800,
flare.(4)ELECTRICAL.2x.28800.2330 Battery,1
flare.(4)ELECTRICAL.8x,
flare.(4)ELECTRICAL.8x.81110,
flare.(4)ELECTRICAL.8x.81110.2725 Headlamp,1
flare.(4)ELECTRICAL.8x.88460,
flare.(4)ELECTRICAL.8x.88460.9190 AC Condenser,1
flare.(4)ELECTRICAL.8x.85214,
flare.(4)ELECTRICAL.8x.85214.10147 Wiper ARM,1
flare.(4)ELECTRICAL.8x.85222,
flare.(4)ELECTRICAL.8x.85222.12188 Wiper Blade,1
flare.(4)ELECTRICAL.8x.87139,
flare.(4)ELECTRICAL.8x.87139.9786 Cabin Air Fiilter,1
flare.(4)ELECTRICAL.8x.87910,
flare.(4)ELECTRICAL.8x.87910.16068 Outside Rearview Mirror,1
flare.(4)ELECTRICAL.8x.89465,
flare.(4)ELECTRICAL.8x.89465.3682 Oxygen Sensor,1
flare.(4)ELECTRICAL.9x,
flare.(4)ELECTRICAL.9x.90919,
flare.(4)ELECTRICAL.9x.90919.2383 Misc Sensors,1
